source,date,title,drug_tags,content_tags,cancer_tags,blog_url,blog_views,blog_likes,blog_comments,cafe_url,cafe_comments,cafe_views,match_confidence,total_comments,persona_myungsoon,persona_suksuja,persona_yeonok
blog,2025. 2. 26.,"[해외호전사례] Paul Mann 55세, 전립선암 4기 - 이버멕틴 by Dr. Kathleen Ruddy, FLCCC",이버멕틴,해외호전사례,전립선암,https://blog.naver.com/grsanga/223775010717,70,7.0,0,,0,0,,0,3,4,0.0
blog,2025. 2. 26.,"[해외호전사례] 미국 Kevin 남성 51세, 대장암 직장암 4기, 해병대 출신, 많은 인터뷰 영상들, Kevin 복용법, 폴 장 박사",,해외호전사례|프로토콜,대장암,https://blog.naver.com/grsanga/223774660800,50,5.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 25.,"[해외호전사례] 미국 Samantha의 남편, 교모세포종 2023년 11월 - 고용량 펜벤다졸 복용법 (+이버멕틴)",펜벤다졸|이버멕틴,해외호전사례|프로토콜|고용량펜벤다졸,뇌종양,https://blog.naver.com/grsanga/223773411892,132,13.0,2,,0,0,,2,5,6,1.0
blog,2025. 2. 25.,"[해외호전사례] 미국 Moss의 아내, 악성 흉막 중피종 4기, 60일만에 좋은 소식- 조티펜스 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스,,https://blog.naver.com/grsanga/223773231484,90,9.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 21.,"[해외호전사례] 미국, 유방암 4기, 뼈전이 - 이버멕틴도 사용 - 고용량 펜벤다졸 복용법",펜벤다졸|이버멕틴,해외호전사례|프로토콜|고용량펜벤다졸,유방암,https://blog.naver.com/grsanga/223768716240,120,12.0,0,,0,0,,0,5,6,1.0
blog,2025. 2. 21.,"[해외호전사례] 로잘린드(Rosalind) 82세 여성, 대장암 4기 (3년전에) - 조티펜스 복용법 (친구가 알려줌, 4개 팩의 펜벤다졸과 함께)",펜벤다졸,해외호전사례|프로토콜|조티펜스,대장암,https://blog.naver.com/grsanga/223768629635,90,9.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 21.,"[해외호전사례] 캐나다 Karen의 남편, 췌장암 4기(2021년) 완치, 1년동안 암의 증거가 없다, 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,췌장암,https://blog.naver.com/grsanga/223768308399,100,10.0,0,,0,0,,0,5,6,1.0
blog,2025. 2. 20.,"[해외호전사례] 미국 여성. 질 편평상피세포 암종, 직장 전이. 2년동안 펜벤다졸 복용. 지금은 Cancer Free : 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,,https://blog.naver.com/grsanga/223767513519,80,8.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 19.,[해외호전사례] 캐나다 여성 Christine 전이성 소세포 폐암 4기 뇌전이 : 고용량 펜벤다졸 프로토콜 and  이버멕틴,펜벤다졸|이버멕틴,해외호전사례|프로토콜|고용량펜벤다졸,폐암,https://blog.naver.com/grsanga/223766271912,90,9.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 18.,"[해외호전사례] 미국 남자 Rocky, 연골육종(Chondrosarcoma) : 고용량 펜벤다졸 복용법",펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,,https://blog.naver.com/grsanga/223764966352,50,5.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 18.,[해외호전사례] 남아프리카 Jacqui(재키)의 아버지 폐암 5기 : 고용량 펜벤다졸 복용법,펜벤다졸,해외호전사례|프로토콜|고용량펜벤다졸,폐암,https://blog.naver.com/grsanga/223764881308,80,8.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 17.,"[해외호전사례] 미국 Tasha님 남편, 신장암 4기(2022년 10월), 고용량 펜벤다졸 요법",펜벤다졸,해외호전사례|고용량펜벤다졸,,https://blog.naver.com/grsanga/223763624929,100,10.0,0,,0,0,,0,3,4,1.0
blog,2025. 2. 17.,"[해외호전사례] 미국 Sarah 남편, 44세, 3c기 전이성 흑색종 (4월) - 5월 NED, 키투루다를 할것인가 말것인가 - 조티펜스 복용법",펜벤다졸,해외호전사례|프로토콜|조티펜스,흑색종,https://blog.naver.com/grsanga/223763468216,60,6.0,0,,0,0,,0,5,6,0.0
blog,2025. 2. 15.,2025년 2월 12일까지의 블러그 글에서 이트라코나졸의 항암 관련 정보 총정리,이트라코나졸,총정리,,https://blog.naver.com/grsanga/223761444584,1612,16.0,12,,0,0,,12,4,8,3.0
blog,2025. 2. 14.,대장암 예방 및 치료에 사용되는 생약(약초),,,대장암,https://blog.naver.com/grsanga/223760360881,102,10.0,2,,0,0,,2,0,2,2.0
blog,2025. 2. 13.,Blastomyces gilchristii 감염 곰팡이 질환 : Blastomycosis(분아균증),,장내미생물,,https://blog.naver.com/grsanga/223759549749,50,5.0,0,,0,0,,0,-1,2,2.0
blog,2025. 2. 12.,이트라코나졸은 자가 포식 세포 사멸을 유도하여 대장암 환자의 생존 결과를 개선한다,이트라코나졸,,대장암,https://blog.naver.com/grsanga/223757886306,90,9.0,0,,0,0,,0,0,2,1.0
blog,2025. 1. 22.,이버멕틴의 항암 효과 : 작용 기전과 치료적 시사점,이버멕틴,,,https://blog.naver.com/grsanga/223734606692,173,17.0,3,,0,0,,3,0,2,3.0
blog+cafe,2024. 12. 20.,"마크 린턴 ""암 해결법"" 최종 요약 정리",,,,https://blog.naver.com/grsanga/223700102960,313,31.0,3,https://cafe.naver.com/friendsofhippocrates/19154,12,313,중신뢰,15,0,6,3.0
blog,2024. 12. 7.,"메트포르민의 젖산 수출 억제, MCT1 MCT4 억제",메트포르민,,,https://blog.naver.com/grsanga/223685541327,92,9.0,2,,0,0,,2,0,2,1.0
blog+cafe,2024. 12. 4.,변형 감귤 펙틴에 대한 완벽한 가이드 Modified Citrus Pectin,변형감귤펙틴,총정리,,https://blog.naver.com/grsanga/223682494528,910,9.0,10,https://cafe.naver.com/friendsofhippocrates/19110,3,123,고신뢰,13,2,8,1.0
blog,2024. 12. 3.,"""암 해결법?"" 요약편(실전 항암 측면에서의 정리)",,총정리,,https://blog.naver.com/grsanga/223681145928,3116,31.0,16,,0,0,,16,4,9,3.0
blog,2024. 11. 29.,[해외호전사례] 미국 Kirk 남성 소세포폐암 SCLC 4기 뇌전이,,해외호전사례,폐암,https://blog.naver.com/grsanga/223677284521,90,9.0,0,,0,0,,0,3,4,0.0
blog,2024. 11. 21.,"기저세포암(basal cell carcinoma)에 대한 이트라코나졸과 비스모데깁의 조합, 이트라코나졸 단독 치료",이트라코나졸,,,https://blog.naver.com/grsanga/223668479918,80,8.0,0,,0,0,,0,0,2,1.0
blog,2024. 11. 20.,전이성 거세 저항성 전립선암에 이버멕틴 유력!,이버멕틴,,전립선암,https://blog.naver.com/grsanga/223667044734,100,10.0,0,,0,0,,0,0,2,2.0
blog,2024. 11. 16.,"피르비늄, 이버멕틴 :  췌장관암에서 대식세포 의존성 성장의 새로운 선택적 억제제",이버멕틴|피르비늄,,,https://blog.naver.com/grsanga/223662775598,121,12.0,1,,0,0,,1,0,2,2.0
blog,2024. 11. 13.,"14장. 암의 발생 및 진행, 요약, 화학 요법 내성, 악액질 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223658877488,111,11.0,1,,0,0,,1,-1,2,4.0
blog,2024. 11. 1.,13장. 세포 억제 개념을 지원하는(암세포를 죽이는) 약물 : Mark Lintern [책] 암 해결 방법?,,책요약,,https://blog.naver.com/grsanga/223642370191,180,18.0,0,,0,0,,0,-1,2,5.0
blog,2024. 10. 30.,12장. 종양 성장을 촉진하는 연료 : Mark Lintern [책] 암 해결 방법?,,책요약,,https://blog.naver.com/grsanga/223639571674,110,11.0,0,,0,0,,0,-1,2,4.0
blog+cafe,2024. 10. 4.,"9장. 증상 추적, 암의 원인으로 미생물을 지목하는 과정과 이유 : Mark Lintern [책] 암 해결 방법?",,책요약|장내미생물,,https://blog.naver.com/grsanga/223606839472,120,12.0,0,https://cafe.naver.com/friendsofhippocrates/18942,15,212,고신뢰,15,-2,5,5.0
blog+cafe,2024. 9. 21.,"8장. 암의 형성 과정, 암의 특징, 홀마크 재배치, 대사이론과 DNA이론 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223590983411,140,14.0,0,https://cafe.naver.com/friendsofhippocrates/18924,2,105,고신뢰,2,-1,2,4.0
blog,2024. 9. 19.,[책 요약] 이버멕틴의 화학적 및 생물학적 활성 : 항염증제로서의 이버멕틴,이버멕틴,책요약,,https://blog.naver.com/grsanga/223588935013,50,5.0,0,,0,0,,0,-1,2,3.0
blog,2024. 9. 14.,"7장. 모든것을 이해하기, 암을 이해하기 위한 기본 지식 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223583778565,100,10.0,0,,0,0,,0,-1,2,4.0
blog+cafe,2024. 9. 10.,"6장. 환상적인 자유 라디칼, 활성 산소종, 산화 스트레스, 올바른 항산화제는...: Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223578876858,164,16.0,4,https://cafe.naver.com/friendsofhippocrates/18867,10,117,고신뢰,14,-1,4,5.0
blog+cafe,2024. 9. 6.,"5장. 화학 요법의 모순, 살베스트롤, 3BP : Mark Lintern [책] 암 해결 방법?",살베스트롤,책요약,,https://blog.naver.com/grsanga/223574371998,121,12.0,1,https://cafe.naver.com/friendsofhippocrates/18850,3,88,고신뢰,4,-1,2,4.0
blog,2024. 9. 5.,"고영희 박사와 3-BP, 3-bromopyruvate, FDA 임상 진행중, 놀랍도록 강력하고 신속하게 작용하는 항암제",,,,https://blog.naver.com/grsanga/223573564081,1715,17.0,15,,0,0,,15,3,8,3.0
blog+cafe,2024. 9. 3.,"3, 4장. 화학 요법 효과와 실패, 암 줄기세포 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223570840237,153,15.0,3,https://cafe.naver.com/friendsofhippocrates/18838,16,147,고신뢰,19,-1,5,5.0
blog+cafe,2024. 8. 29.,"2장. 현실을 엿보다, DNA 이론의 모순, 와버그 효과, 포도당 제한, 케톤 생성 식단 : Mark Lintern [책] 암 해결 방법?",,책요약|식이요법,,https://blog.naver.com/grsanga/223565213048,142,14.0,2,https://cafe.naver.com/friendsofhippocrates/18826,4,80,고신뢰,6,-1,3,4.0
blog,2024. 8. 24.,"1장. 의심스러운 과학, DNA 이론이 잘못된 이유 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223558991100,182,18.0,2,,0,0,,2,-1,2,5.0
blog,2024. 8. 23.,[해외 호전 사례] 흑색종 말기암을 5년만에 극복한 베일리,,해외호전사례,흑색종,https://blog.naver.com/grsanga/223558171974,124,12.0,4,,0,0,,4,3,4,1.0
blog+cafe,2024. 8. 21.,"[해외 논문 호전 사례] 4기 삼중 음성 유방암 : 케토제닉 다이어트, 고열, 고압산소 치료와 결합된 대사 지원 화학 요법",,논문요약,유방암,https://blog.naver.com/grsanga/223555537685,80,8.0,0,https://cafe.naver.com/friendsofhippocrates/12393,5,89,저신뢰,5,-1,3,4.0
blog,2024. 8. 19.,"18장. 식물 및 약물, 약용 식물, 천연물 전체 추출물의 중요성 : Mark Lintern [책] 암 해결 방법?",,책요약,,https://blog.naver.com/grsanga/223553233528,102,10.0,2,,0,0,,2,-1,2,4.0
blog,2024. 8. 16.,"17장. 암은 자연적으로 치료될 수 있나요?, 대마초 추출물, 살베스트롤, CYP1B1 : Mark Lintern [책] 암 해결 방법?",살베스트롤|CBD,책요약,,https://blog.naver.com/grsanga/223549698965,115,11.0,5,,0,0,,5,-1,3,4.0
blog,2024. 8. 13.,"FLCCC 코로나 조기 치료법, Early covid-19 protocol",,,,https://blog.naver.com/grsanga/223546833467,82,8.0,2,,0,0,,2,0,2,1.0
blog+cafe,2024. 8. 13.,"살베스트롤 Salvestrol 소개와 치료 사례 : 유방암, 항문 편평 세포암, 백혈병, 전립선 비대증, 복막암",살베스트롤,,유방암|혈액암,https://blog.naver.com/grsanga/223546651837,163,16.0,3,https://cafe.naver.com/friendsofhippocrates/18786,29,303,저신뢰,32,0,5,3.0
blog,2024. 8. 7.,"16장.  음식, 생활 습관 및 암 : Mark Lintern [책] 암 해결 방법?",,책요약|식이요법,,https://blog.naver.com/grsanga/223539741017,71,7.0,1,,0,0,,1,-1,2,3.0
blog,2024. 8. 3.,15장. 암에 관한 중요한 질문과 답변 : Mark Lintern [책] 암 해결 방법?,,책요약,,https://blog.naver.com/grsanga/223534944142,94,9.0,4,,0,0,,4,-1,2,3.0
blog,2024. 7. 30.,진균과 종양 : 종양 형성에서 진균의 역할(리뷰),,,,https://blog.naver.com/grsanga/223530663399,146,14.0,6,,0,0,,6,0,3,2.0
blog,2024. 7. 26.,"[실전편] 조티펜스복용법- 호르몬 양성 및 삼중 음성 유방암에 대한 JTP/펜벤다졸의 효능: 환자 남편이 의사, 전 의대 교수",펜벤다졸,프로토콜|조티펜스,유방암,https://blog.naver.com/grsanga/223526521634,151,15.0,1,,0,0,,1,2,4,3.0
blog,2024. 7. 24.,11장. 미생물(곰팡이)이 원인인가요? 너무 길어서 핵심만 요약 :  Mark Lintern [책] 암 해결 방법?,,책요약|장내미생물,,https://blog.naver.com/grsanga/223524007250,156,15.0,6,,0,0,,6,-2,3,6.0
blog+cafe,2024. 7. 23.,11장. 미생물(곰팡이)이 원인인가요? : Mark Lintern [책] 암 해결 방법?,,책요약|장내미생물,,https://blog.naver.com/grsanga/223522899473,9,,9,https://cafe.naver.com/friendsofhippocrates/18732,23,182,중신뢰,32,-2,5,3.0
blog,2024. 7. 4.,칸디다 알비칸스 질환은 위암 발생과 관련이 있습니다,,,위암,https://blog.naver.com/grsanga/223501343276,106,10.0,6,,0,0,,6,0,3,2.0
blog,2024. 7. 4.,인간 마이코바이옴의 공생과 불균형,,,,https://blog.naver.com/grsanga/223501336463,110,11.0,0,,0,0,,0,0,2,2.0
blog,2024. 6. 22.,"10-2장. 미생물 관련성, 발암의 재정의, 나가라제, 은의 기적, 꿀 :  Mark Lintern [책] 암 해결 방법?",,책요약|장내미생물,,https://blog.naver.com/grsanga/223487580065,102,10.0,2,,0,0,,2,-2,2,5.0
